25, Apple Vinegar, 0, 0
400, Bacon, 1, 5
200, Beans, 1, 5
80, Coffee, 0, 0
80, Dried Apples, 1, 5
500, Flour, 1, 5
200, Hardtack, 1, 5
200, Lard, 1, 5
50, Salt, 0, 0
40, Sugar, 0, 0
200, Rice, 1, 5
100, Water, 0, 0
40, Whiskey, 0, 0
15, Bedroll, 0, 0
200, Blacksmithing Tools, 0, 0
75, Books, 0, 0
10, Medicine, 0, 0
300, Cast Iron Stove, 0, 0
20, Chair, 0, 0
75, Cookware & Eating Utensils, 0, 0
15, Granny's Clock, 0, 0
200, Gun Making Tools, 0, 0
40, Keepsakes, 0, 0
25, Lead Shot, 0, 0
15, Mirror, 0, 0
80, Gunpowder, 0, 0
150, Tent & Gear, 0, 0
50, Tools, 0, 0
15, Toys, 0, 0

